名称,面数据
江宁博物馆,"13230422.12,3734396.38,13230410.22,3734434.9,13230417.11,3734473.8,13230427.13,3734488.83,13230438.15,3734494.31,13230456.19,3734491.82,13230524.23,3734460.37,13230565.19,3734436.33,13230581.22,3734419.35,13230568.64,3734384.38,13230485.68,3734397.81,13230443.16,3734401.34,13230422.12,3734396.38"
老门东,"13224054.65,3743018.13,13224515.6,3742928.15,13224456.61,3742695.18,13224388.68,3742540.75,13224377.14,3742534.48,13224347.36,3742560.1,13224251.9,3742615.85,13224184.34,3742633.62,13224059.18,3742659.17,13223936.91,3742698.99,13223963.56,3742753.24,13224054.65,3743018.13"
溧水体育公园,"13251965.92,3693404.55,13251951.1,3693433.95,13251944.44,3693879.34,13251953.66,3693919.94,13251968.61,3693938.67,13251990.53,3693953.12,13252033.05,3693961.83,13252103.94,3693967.05,13252369.0,3693967.31,13252402.87,3693962.49,13252425.47,3693945.45,13252435.81,3693922.93,13252441.38,3693890.92,13252439.94,3693459.46,13252433.12,3693411.19,13252413.53,3693386.86,13252383.83,3693380.88,13252340.31,3693375.42,13252064.43,3693370.59,13252003.67,3693376.71,13251978.07,3693388.55,13251965.92,3693404.55"
和平公园,"13225230.71,3748874.8,13225235.72,3748878.71,13225386.2,3748841.34,13225362.72,3748720.81,13225216.68,3748776.23,13225211.23,3748781.73,13225216.68,3748815.31,13225230.71,3748874.8"
南京地质博物馆,"13226387.33,3747155.97,13226400.23,3747163.4,13226425.72,3747158.44,13226459.78,3747155.97,13226463.23,3747149.95,13226464.79,3747138.97,13226459.22,3747092.43,13226453.77,3747080.93,13226447.76,3747077.93,13226429.72,3747078.44,13226384.32,3747087.99,13226379.31,3747091.0,13226384.32,3747134.01,13226387.33,3747155.97"
下马坊遗址公园,"13230443.52,3746365.11,13230451.62,3746388.64,13230478.67,3746491.24,13230485.92,3746508.35,13230498.95,3746510.31,13230518.42,3746504.31,13230846.36,3746415.31,13230887.44,3746398.31,13230910.84,3746398.19,13230933.08,3746397.65,13230950.48,3746394.78,13230967.83,3746382.88,13230972.96,3746368.91,13230971.4,3746354.78,13230964.38,3746338.84,13230947.91,3746327.48,13230929.08,3746312.31,13230916.17,3746301.21,13230907.28,3746289.06,13230898.82,3746267.61,13230892.37,3746232.34,13230886.0,3746206.85,13230883.43,3746193.4,13230878.1,3746188.04,13230871.33,3746186.06,13230862.95,3746186.86,13230825.32,3746202.66,13230680.85,3746259.26,13230521.99,3746319.11,13230467.13,3746343.94,13230452.18,3746349.16,13230444.96,3746353.35,13230443.52,3746365.11"
兰花园,"13227277.0,3759145.04,13227269.43,3759153.29,13227260.41,3759175.14,13227259.85,3759180.64,13227263.74,3759189.15,13227295.6,3759243.57,13227303.49,3759251.68,13227312.07,3759256.65,13227322.65,3759255.47,13227328.86,3759246.98,13227357.71,3759195.68,13227361.48,3759184.96,13227359.15,3759176.97,13227357.91,3759173.58,13227291.91,3759147.14,13227285.02,3759144.92,13227277.0,3759145.04"
侵华日军南京大屠杀遇难同胞纪念馆,"13218849.41,3745848.37,13218855.99,3745853.33,13218866.0,3745856.86,13218963.43,3745857.47,13219088.98,3745857.43,13219164.41,3745860.44,13219354.44,3745879.34,13219394.92,3745880.81,13219484.97,3745873.3,13219563.44,3745854.41,13219715.88,3745807.75,13219719.01,3745797.31,13219718.97,3745789.74,13219715.44,3745782.38,13219439.96,3745752.27,13219183.44,3745728.33,13219180.44,3745746.35,13219111.03,3745740.33,13219111.03,3745728.43,13218866.0,3745706.39,13218856.99,3745710.98,13218845.53,3745729.81,13218841.52,3745744.86,13218843.92,3745798.84,13218844.48,3745838.32,13218849.41,3745848.37"
明故宫遗址公园,"13227527.59,3746457.91,13227528.35,3746492.27,13227569.67,3746897.43,13227576.12,3746911.42,13227589.15,3746925.41,13227608.18,3746937.43,13227625.3,3746944.22,13227659.72,3746941.61,13227684.97,3746933.64,13227700.0,3746918.35,13227710.58,3746907.89,13227716.15,3746896.39,13227719.59,3746877.44,13227704.69,3746699.81,13227685.53,3746488.37,13227681.76,3746448.37,13227680.76,3746438.05,13227674.19,3746432.43,13227659.6,3746428.76,13227588.15,3746437.25,13227538.61,3746442.49,13227531.6,3746446.02,13227528.79,3746451.5,13227527.59,3746457.91"
南京老山国家森林公园,"13202620.02,3754131.93,13202537.98,3754293.97,13202410.5,3754479.95,13202366.98,3754576.98,13202356.52,3754609.55,13202319.57,3754675.45,13202234.49,3754861.97,13202221.47,3754925.52,13202217.46,3754971.95,13202221.03,3754996.55,13202219.02,3755015.38,13202201.99,3755033.42,13202138.55,3755055.4,13202111.06,3755068.47,13202069.54,3755108.49,13202003.54,3755211.94,13201999.53,3755275.37,13202028.58,3755465.42,13202076.55,3755745.98,13202081.56,3755820.39,13202088.02,3755835.96,13202093.59,3755844.98,13202113.5,3755850.86,13202150.57,3755855.96,13202176.06,3755851.92,13202278.05,3755798.43,13202321.01,3755786.91,13202445.57,3755777.88,13202459.47,3755781.41,13202469.49,3755787.97,13202483.96,3755828.38,13202502.56,3755941.9,13202510.49,3755961.93,13202518.51,3755975.4,13202560.02,3756012.41,13202573.49,3756028.49,13202603.55,3756094.41,13202632.04,3756142.94,13202646.51,3756161.91,13202708.5,3756216.46,13202764.05,3756269.95,13202775.51,3756286.43,13202790.02,3756321.88,13202791.02,3756355.5,13202782.0,3756448.49,13202782.52,3756504.47,13202787.01,3756517.95,13202793.02,3756528.95,13202821.08,3756558.36,13202832.98,3756565.95,13202876.5,3756582.95,13203019.97,3756622.47,13203185.96,3756668.37,13203201.99,3756675.44,13203215.46,3756686.94,13203245.96,3756725.92,13203291.04,3756807.95,13203308.99,3756845.88,13203321.02,3756862.5,13203338.05,3756872.96,13203555.98,3757038.43,13203559.99,3757058.44,13203567.56,3757079.38,13203595.05,3757096.9,13203636.05,3757141.9,13203656.09,3757156.95,13203711.51,3757186.9,13203750.47,3757201.95,13203906.0,3757250.47,13204040.57,3757275.47,13204058.04,3757275.98,13204080.53,3757263.43,13204120.04,3757228.89,13204146.57,3757197.5,13204168.05,3757177.47,13204185.08,3757178.39,13204253.53,3757205.87,13204314.53,3757222.47,13204509.01,3757283.98,13204647.51,3757370.97,13204781.53,3757487.91,13204801.0,3757508.44,13204818.04,3757516.43,13204847.97,3757518.0,13204973.57,3757564.81,13204996.05,3757577.39,13205147.09,3757616.89,13205260.55,3757664.9,13205306.07,3757678.89,13205459.56,3757701.93,13205557.55,3757732.92,13205594.62,3757756.87,13205642.03,3757799.9,13205658.62,3757820.84,13205677.53,3757853.92,13205693.12,3757886.89,13205714.6,3757914.89,13205799.56,3757974.81,13205836.07,3758008.81,13205867.57,3758045.32,13205897.63,3758068.34,13206215.55,3758262.87,13206251.05,3758271.89,13206366.07,3758269.42,13206390.56,3758265.36,13206456.56,3758244.29,13206538.59,3758250.31,13206571.58,3758261.31,13206734.52,3758354.32,13206847.54,3758462.38,13206901.64,3758512.88,13207037.53,3758620.41,13207154.11,3758709.91,13207182.05,3758742.36,13207194.63,3758766.81,13207227.13,3758971.3,13207234.02,3758989.36,13207240.6,3758997.87,13207248.61,3758998.9,13207262.08,3758989.36,13207340.1,3758899.36,13207422.62,3758803.84,13207441.53,3758778.85,13207458.13,3758753.34,13207517.56,3758637.83,13207556.51,3758582.87,13207700.14,3758440.41,13207735.09,3758396.31,13207743.54,3758382.32,13207752.12,3758360.86,13207756.13,3758334.83,13207756.57,3758278.31,13207752.12,3758204.91,13207751.12,3758118.84,13207760.58,3758090.84,13207779.05,3758059.83,13207831.03,3758015.89,13208047.56,3757841.89,13208160.13,3757774.39,13208291.58,3757713.82,13208404.11,3757661.37,13208605.61,3757568.88,13208910.62,3757427.34,13209041.11,3757369.39,13209075.05,3757348.84,13209280.12,3757184.81,13209372.05,3757105.41,13209466.23,3757018.94,13209495.64,3756994.35,13209532.03,3756959.43,13209539.6,3756930.38,13209531.03,3756909.99,13209501.09,3756891.93,13209469.11,3756856.34,13209448.07,3756815.92,13209409.12,3756719.39,13209380.06,3756690.87,13209316.06,3756660.4,13209252.62,3756635.41,13209197.6,3756606.91,13209145.62,3756581.4,13209117.57,3756554.83,13209068.04,3756506.82,13209046.56,3756487.35,13208993.14,3756455.83,13208953.06,3756442.35,13208929.1,3756428.34,13208915.55,3756415.93,13208904.61,3756413.32,13208895.03,3756415.41,13208866.54,3756441.3,13208789.75,3756461.05,13208756.45,3756484.07,13208732.65,3756498.34,13208698.02,3756498.59,13208654.58,3756496.9,13208625.08,3756490.62,13208592.58,3756479.88,13208569.54,3756462.88,13208532.59,3756419.06,13208515.12,3756397.87,13208460.13,3756292.05,13208440.86,3756265.9,13208428.07,3756250.06,13208405.79,3756236.47,13208360.26,3756216.84,13208169.79,3756126.2,13208138.61,3756113.39,13207990.57,3756072.31,13207940.59,3756068.91,13207875.67,3756094.41,13207844.05,3756103.84,13207821.57,3756102.39,13207798.09,3756095.85,13207784.62,3756083.81,13207775.6,3756066.81,13207765.58,3756037.92,13207763.58,3756010.83,13207786.62,3755836.35,13207792.52,3755776.85,13207784.06,3755748.33,13207771.04,3755724.39,13207749.55,3755707.39,13207723.06,3755699.4,13207697.14,3755696.93,13207663.07,3755701.38,13207650.61,3755698.37,13207640.59,3755689.86,13207634.58,3755679.91,13207628.13,3755661.88,13207617.11,3755607.85,13207594.58,3755581.82,13207567.53,3755566.4,13207490.07,3755552.92,13207429.63,3755553.3,13207415.16,3755551.35,13207382.1,3755541.15,13207356.82,3755519.44,13207339.1,3755484.39,13207329.44,3755459.8,13207301.39,3755444.63,13207265.96,3755431.42,13207240.48,3755428.01,13207215.23,3755420.95,13207196.39,3755409.57,13207200.08,3755395.84,13207205.21,3755373.34,13207214.23,3755351.24,13207215.99,3755307.82,13207209.98,3755252.1,13207202.08,3755217.3,13207182.61,3755174.53,13207130.07,3755134.91,13207032.52,3755105.88,13206758.25,3755013.55,13206683.11,3754990.39,13206618.55,3754950.89,13206593.38,3754918.72,13206571.34,3754855.69,13206540.08,3754768.84,13206514.11,3754727.9,13206471.59,3754677.82,13206451.11,3754628.9,13206447.1,3754597.39,13206447.54,3754581.43,13206434.52,3754532.9,13206418.37,3754523.75,13206380.1,3754515.9,13206349.6,3754516.82,13206287.04,3754506.87,13206175.03,3754472.87,13206164.13,3754472.35,13206102.13,3754457.85,13206041.14,3754431.82,13205963.51,3754405.91,13205916.54,3754395.85,13205818.04,3754399.89,13205711.6,3754380.42,13205669.52,3754360.93,13205651.93,3754332.95,13205616.86,3754263.76,13205568.57,3754181.37,13205497.11,3754084.34,13205474.59,3754041.31,13205438.08,3753939.29,13205409.03,3753901.91,13205367.07,3753867.37,13205285.03,3753820.82,13205260.11,3753805.91,13205213.58,3753787.87,13205137.08,3753773.35,13205021.42,3753771.13,13204948.08,3753765.89,13204889.05,3753742.87,13204852.54,3753720.39,13204812.02,3753688.87,13204783.09,3753674.36,13204727.1,3753656.82,13204709.63,3753645.84,13204690.6,3753627.41,13204673.08,3753613.42,13204626.55,3753607.4,13204470.62,3753671.35,13204392.11,3753678.4,13204345.59,3753683.39,13204301.3,3753676.57,13204275.25,3753653.03,13204266.44,3753620.35,13204260.31,3753577.58,13204254.98,3753514.15,13204239.39,3753434.0,13204198.11,3753323.89,13204154.59,3753238.37,13204085.1,3753164.87,13204060.05,3753134.4,13204031.55,3753060.39,13204013.08,3752985.33,13204003.5,3752936.95,13203999.05,3752930.55,13203976.57,3752909.48,13203941.06,3752889.48,13203809.02,3752853.52,13203780.52,3752842.92,13203653.52,3752824.49,13203479.52,3752802.53,13203434.55,3752799.0,13203405.05,3752794.02,13203383.57,3752801.47,13203347.51,3752843.98,13203321.02,3752891.45,13203199.79,3753132.05,13203178.51,3753222.55,13203161.04,3753276.93,13203115.07,3753390.45,13203063.53,3753495.97,13202922.47,3753696.98,13202845.56,3753781.98,13202744.45,3753882.54,13202693.03,3753953.03,13202620.02,3754131.93"
石头城,"13220647.16,3747598.51,13220615.9,3747623.62,13220578.39,3747656.68,13220515.83,3747714.72,13220460.37,3747778.63,13220410.95,3747834.57,13220387.79,3747849.34,13220372.32,3747864.64,13220348.4,3747900.71,13220344.39,3747908.17,13220337.37,3747936.67,13220337.82,3747973.51,13220340.82,3748021.22,13220350.4,3748033.12,13220395.92,3748049.2,13220493.35,3748086.19,13220624.35,3748142.65,13220651.85,3748146.18,13220665.87,3748155.21,13220705.83,3748169.2,13220729.87,3748181.61,13220750.35,3748188.15,13220768.87,3748192.71,13220781.89,3748195.72,13220790.91,3748192.71,13220787.22,3748183.96,13220782.97,3748174.3,13220763.94,3748153.37,13220757.93,3748143.57,13220754.6,3748131.67,13220756.28,3748118.74,13220757.04,3748075.21,13220762.29,3748056.78,13220772.39,3748054.03,13220783.33,3748050.24,13220789.91,3748044.36,13220792.23,3748033.26,13220807.38,3747941.63,13220811.27,3747922.54,13220810.83,3747917.31,13220807.7,3747913.01,13220800.13,3747909.46,13220782.21,3747905.68,13220776.08,3747900.2,13220771.63,3747894.18,13220770.63,3747875.62,13220766.86,3747838.63,13220770.39,3747794.19,13220781.89,3747709.24,13220783.9,3747679.68,13220777.88,3747627.15,13220770.39,3747574.22,13220766.38,3747562.7,13220761.37,3747550.16,13220756.36,3747545.72,13220747.15,3747546.89,13220735.56,3747549.37,13220707.51,3747569.49,13220679.46,3747582.19,13220647.16,3747598.51"
武定门公园北园,"13225290.46,3743568.37,13225296.47,3743568.37,13225361.51,3743552.31,13225265.97,3743230.89,13225223.45,3743233.88,13225216.0,3743236.89,13225214.44,3743239.9,13225236.92,3743355.41,13225245.5,3743409.36,13225286.01,3743562.37,13225290.46,3743568.37"
滨江公园(乐山路),"13215906.59,3743264.85,13215937.09,3743264.85,13216120.56,3743207.9,13216343.05,3743137.33,13216366.02,3743126.89,13216376.6,3743112.38,13216374.59,3743088.86,13216366.58,3743061.82,13216301.1,3742877.85,13216293.52,3742861.39,13216282.06,3742849.89,13216269.03,3742845.33,13216242.1,3742846.36,13216031.59,3742904.38,13215892.57,3742943.32,13215875.09,3742949.32,13215859.06,3742961.34,13215849.04,3742976.9,13215837.58,3743020.4,13215874.09,3743223.84,13215882.55,3743245.92,13215889.56,3743257.4,13215906.59,3743264.85"
八字山公园,"13219815.71,3752253.2,13219797.8,3752262.23,13219774.88,3752271.12,13219756.72,3752282.36,13219741.13,3752301.71,13219736.0,3752323.03,13219731.99,3752348.52,13219733.0,3752454.57,13219730.43,3752469.07,13219726.99,3752482.03,13219747.02,3752479.54,13219772.43,3752476.93,13219816.71,3752474.83,13219856.47,3752470.27,13219877.07,3752469.07,13219889.65,3752459.81,13219900.55,3752442.41,13219906.0,3752426.59,13219910.01,3752415.46,13219922.35,3752409.07,13219936.38,3752409.73,13219959.34,3752412.34,13220033.0,3752425.01,13220054.52,3752426.59,13220076.0,3752427.5,13220083.78,3752425.67,13220091.79,3752411.94,13220104.5,3752374.29,13220103.81,3752358.33,13220096.68,3752344.86,13220080.77,3752334.01,13219994.17,3752323.41,13219917.7,3752300.41,13219906.68,3752289.29,13219903.12,3752272.81,13219899.75,3752253.2,13219914.78,3752153.7,13219921.27,3752096.56,13219925.48,3752068.44,13219925.72,3752057.6,13219919.47,3752043.07,13219912.69,3752032.09,13219897.23,3752023.72,13219885.28,3752021.51,13219863.04,3752019.93,13219845.89,3752021.63,13219838.31,3752020.97,13219833.99,3752024.26,13219832.18,3752046.34,13219850.66,3752092.24,13219853.78,3752108.2,13219863.48,3752147.42,13219860.48,3752179.45,13219855.35,3752206.13,13219845.57,3752222.87,13219837.11,3752236.34,13219815.71,3752253.2"
中华门,"13224743.3,3740708.4,13224743.3,3740860.9,13224432.2,3740860.9,13224432.2,3741318.6,13223654.2,3741318.6,13223654.2,3741623.7,13222253.9,3741623.7,13222253.9,3742691.6,13222565.1,3742691.6,13222565.1,3742844.1,13223187.5,3742844.1,13223187.5,3742996.7,13223343.1,3742996.7,13223343.1,3743301.8,13223498.6,3743301.8,13223498.6,3743759.5,13223809.8,3743759.5,13223809.8,3744064.6,13224587.8,3744064.6,13224587.8,3743454.4,13225210.1,3743454.4,13225210.1,3741471.1,13225365.7,3741471.1,13225365.7,3740555.8,13224743.3,3740555.8"
绣球公园,"13219450.91,3753013.45,13219469.94,3753017.38,13219501.0,3753017.38,13219515.95,3753009.91,13219529.97,3752999.32,13219535.54,3752981.93,13219537.99,3752958.91,13219538.99,3752951.85,13219543.44,3752949.38,13219544.0,3752945.83,13219554.02,3752942.83,13219576.94,3752942.83,13219598.98,3752947.41,13219612.45,3752958.91,13219624.91,3752974.87,13219640.94,3752986.91,13219658.42,3752993.82,13219674.01,3752994.88,13219711.96,3752994.36,13219746.46,3752988.34,13219756.48,3752983.38,13219760.97,3752969.37,13219760.97,3752957.87,13219757.48,3752944.4,13219755.96,3752924.91,13219756.96,3752913.93,13219759.49,3752899.94,13219765.98,3752892.37,13219777.44,3752887.38,13219791.47,3752875.88,13219800.04,3752859.92,13219807.5,3752834.43,13219814.95,3752791.4,13219819.52,3752750.87,13219814.51,3752738.85,13219807.94,3752727.85,13219793.47,3752713.34,13219751.95,3752688.37,13219737.44,3752676.85,13219709.51,3752626.39,13219703.94,3752612.4,13219702.94,3752599.85,13219703.94,3752586.38,13219704.94,3752575.39,13219706.51,3752563.36,13219694.48,3752553.95,13219633.93,3752558.4,13219623.47,3752565.33,13219618.02,3752604.95,13219618.46,3752637.89,13219616.46,3752648.35,13219562.03,3752658.42,13219520.52,3752661.43,13219508.49,3752666.93,13219506.49,3752676.34,13219508.93,3752683.93,13219512.5,3752693.85,13219527.53,3752699.87,13219541.44,3752701.84,13219545.0,3752705.37,13219549.01,3752715.44,13219543.44,3752729.43,13219475.51,3752752.44,13219459.92,3752759.9,13219444.01,3752774.41,13219437.0,3752785.39,13219429.99,3752797.42,13219427.98,3752810.38,13219429.43,3752824.37,13219432.99,3752836.92,13219433.43,3752867.91,13219427.98,3752882.94,13219401.93,3752904.92,13219397.48,3752911.32,13219395.92,3752948.33,13219397.93,3752955.38,13219397.93,3752963.37,13219400.93,3752972.38,13219425.42,3753001.42,13219450.91,3753013.45"
刘智墓,"13222952.62,3738801.0,13222957.07,3738804.53,13223032.13,3738815.49,13223038.14,3738813.91,13223042.59,3738809.49,13223043.15,3738737.53,13223042.15,3738732.42,13223039.14,3738729.42,13222961.07,3738726.03,13222951.62,3738729.42,13222951.06,3738732.42,13222950.05,3738795.5,13222952.62,3738801.0"
将军山风景区,"13222918.67,3730857.23,13222923.96,3730843.64,13222948.69,3730832.02,13222958.19,3730834.69,13222997.22,3730839.67,13223035.65,3730833.69,13223067.8,3730828.99,13223110.76,3730835.49,13223147.79,3730841.19,13223180.17,3730859.74,13223258.23,3730921.08,13223304.36,3730959.58,13223356.26,3730997.67,13223412.48,3731021.32,13223450.84,3731049.98,13223479.81,3731100.26,13223504.46,3731145.24,13223524.33,3731160.09,13223547.82,3731166.93,13223604.17,3731167.14,13223694.62,3731168.88,13223747.76,3731175.26,13223784.1,3731170.13,13223811.03,3731153.33,13223837.44,3731138.89,13223877.8,3731132.89,13223945.37,3731138.53,13223984.4,3731132.73,13224000.59,3731118.08,13224009.45,3731099.68,13224008.41,3731064.81,13223971.5,3730986.69,13223941.08,3730955.02,13223905.69,3730938.8,13223864.78,3730936.05,13223810.63,3730934.65,13223768.84,3730929.25,13223733.33,3730919.65,13223711.37,3730904.78,13223685.28,3730856.93,13223683.35,3730832.88,13223687.32,3730819.1,13223692.21,3730802.09,13223702.51,3730788.69,13223714.01,3730777.67,13223724.31,3730760.73,13223719.42,3730741.86,13223706.12,3730728.97,13223693.81,3730720.0,13223676.5,3730711.61,13223649.65,3730704.87,13223621.6,3730705.95,13223584.25,3730712.07,13223552.11,3730715.53,13223487.79,3730698.3,13223455.97,3730668.34,13223431.88,3730624.14,13223430.16,3730589.26,13223431.6,3730566.05,13223425.03,3730523.24,13223414.57,3730496.79,13223395.13,3730454.13,13223381.02,3730406.85,13223364.55,3730348.46,13223344.24,3730275.22,13223320.67,3730225.68,13223276.11,3730164.24,13223238.92,3730126.17,13223190.91,3730075.47,13223112.76,3730038.79,13223048.4,3730033.03,13223000.87,3730058.42,13222967.33,3730092.57,13222944.4,3730109.59,13222925.01,3730115.85,13222898.88,3730124.3,13222874.51,3730124.96,13222773.8,3730084.56,13222504.61,3729936.71,13222351.01,3729852.41,13222312.57,3729827.42,13222284.64,3729808.01,13222255.59,3729774.07,13222224.97,3729697.68,13222215.87,3729672.55,13222191.14,3729648.66,13222154.8,3729625.66,13222058.66,3729623.94,13221965.96,3729655.99,13221893.78,3729725.7,13221779.97,3729945.96,13221631.01,3730359.24,13221590.93,3730651.36,13221594.5,3730814.76,13221526.73,3730968.45,13221295.06,3731141.48,13221137.8,3731569.95,13221119.77,3731735.16,13221201.08,3731968.19,13221214.23,3732205.82,13221113.56,3732466.85,13221050.56,3732610.5,13221051.48,3732827.65,13221074.8,3732910.97,13221133.83,3733024.88,13221212.38,3733161.26,13221257.67,3733340.62,13221288.12,3733491.62,13221386.71,3733725.71,13221451.27,3733873.38,13221577.71,3734005.37,13221641.23,3734109.44,13221662.07,3734192.26,13221672.69,3734283.36,13221677.06,3734382.03,13221647.16,3734582.33,13221661.43,3734693.88,13221675.05,3734776.82,13221701.98,3734838.22,13221761.82,3734916.78,13221890.42,3735009.25,13221967.8,3735110.81,13221994.82,3735172.89,13221952.94,3735229.83,13221930.13,3735331.17,13222025.11,3735457.4,13222076.41,3735533.98,13222072.84,3735590.7,13222080.02,3735670.76,13222140.01,3735732.0,13222227.29,3735756.37,13222338.82,3735758.82,13222378.18,3735718.96,13222380.18,3735659.46,13222318.06,3735522.3,13222242.76,3735440.24,13222206.05,3735273.21,13222208.74,3735045.05,13222202.65,3734922.06,13222204.21,3734819.21,13222211.1,3734725.48,13222254.7,3734658.68,13222269.77,3734575.98,13222291.13,3734408.27,13222270.85,3734321.26,13222250.94,3734255.42,13222196.84,3734145.33,13222192.07,3734049.01,13222164.21,3733837.27,13222196.07,3733756.38,13222246.13,3733714.39,13222305.08,3733729.91,13222349.36,3733755.7,13222358.38,3733788.52,13222359.82,3733848.49,13222363.27,3733896.62,13222375.37,3733965.55,13222406.83,3734024.74,13222462.54,3734067.35,13222496.56,3734088.99,13222539.88,3734091.24,13222572.66,3734084.39,13222620.71,3734061.93,13222673.65,3734015.04,13222810.75,3733799.92,13222909.18,3733650.3,13222948.61,3733582.84,13222993.54,3733463.78,13223042.67,3733326.01,13223030.61,3733143.36,13222981.99,3732990.25,13222918.75,3732862.14,13222896.71,3732809.83,13222874.95,3732753.75,13222896.91,3732602.77,13222891.14,3732435.27,13222926.05,3732322.81,13223021.59,3732213.81,13223194.47,3732109.75,13223294.94,3732027.5,13223345.64,3731969.35,13223356.7,3731907.67,13223372.53,3731880.68,13223386.8,3731857.32,13223404.83,3731842.66,13223427.11,3731838.89,13223509.59,3731845.93,13223602.28,3731831.54,13223659.55,3731790.12,13223677.58,3731742.25,13223693.29,3731682.47,13223684.24,3731619.77,13223664.36,3731575.95,13223625.2,3731544.44,13223527.5,3731502.75,13223446.51,3731413.89,13223424.07,3731334.87,13223431.52,3731238.15,13223406.39,3731144.33,13223349.81,3731077.82,13223223.37,3730993.5,13223130.79,3730936.55,13223031.49,3730902.41,13222956.59,3730895.75,13222922.56,3730878.07,13222918.67,3730857.23"
佛手湖公园,"13208705.79,3754695.46,13208615.87,3754788.33,13208603.4,3754902.36,13208616.43,3755110.06,13208611.98,3755302.97,13208682.87,3755459.14,13208797.41,3755615.04,13209197.6,3755897.3,13209499.41,3756047.58,13209503.42,3756095.59,13209523.33,3756169.63,13209545.38,3756209.52,13209591.34,3756233.58,13209649.37,3756171.58,13209767.35,3756123.59,13209785.39,3756107.63,13209948.25,3756078.33,13210055.46,3756023.13,13210138.73,3755869.72,13210168.99,3755790.44,13210227.1,3755709.09,13210273.99,3755687.11,13210330.65,3755676.38,13210432.05,3755745.06,13210601.48,3755826.67,13210717.82,3756048.24,13210830.35,3756162.03,13211009.69,3756291.27,13211158.97,3756369.89,13211302.12,3756430.72,13211335.31,3756418.42,13211344.56,3756395.52,13211348.89,3756374.72,13211351.22,3756348.17,13211345.32,3756332.86,13211329.53,3756310.36,13211171.32,3756159.02,13210782.83,3755620.66,13210700.79,3755426.06,13210456.33,3754899.23,13210250.5,3754703.45,13210178.69,3754635.83,13210122.02,3754602.09,13210049.77,3754618.43,13209970.98,3754704.75,13209874.44,3754758.24,13209788.83,3754793.55,13209670.49,3754838.81,13209557.84,3754869.42,13209503.42,3754885.62,13209335.42,3754823.64,13209116.13,3754741.24,13208991.01,3754679.52,13208865.09,3754669.45,13208762.34,3754663.29,13208705.79,3754695.46"
月牙湖公园,"13228512.09,3745357.66,13228515.65,3745382.09,13228528.36,3745637.7,13228548.15,3745838.56,13228558.61,3745891.11,13228582.22,3745977.49,13228586.1,3746034.6,13228589.67,3746105.17,13228584.46,3746212.99,13228582.02,3746249.46,13228588.67,3746257.17,13228600.13,3746262.13,13228613.84,3746260.7,13228670.18,3746249.06,13228686.65,3746246.59,13228756.11,3746248.66,13228789.17,3746254.16,13228860.74,3746272.85,13228904.7,3746293.24,13228930.67,3746298.72,13228949.91,3746298.86,13228961.17,3746289.57,13228966.62,3746271.14,13228961.61,3746231.16,13228935.68,3746096.68,13228900.62,3745954.63,13228853.17,3745723.17,13228823.11,3745566.09,13228818.66,3745550.67,13228820.67,3745475.66,13228824.11,3745460.11,13228829.56,3745447.18,13228846.15,3745436.59,13228916.09,3745420.91,13228989.66,3745413.06,13229050.78,3745402.48,13229072.94,3745396.74,13229086.05,3745386.27,13229084.96,3745367.98,13229079.59,3745222.14,13229078.15,3745206.59,13229077.59,3745198.62,13229068.81,3745193.66,13229054.55,3745194.56,13228961.61,3745233.12,13228792.61,3745294.66,13228736.19,3745316.1,13228681.08,3745338.58,13228672.19,3745343.67,13228660.16,3745361.58,13228623.09,3745352.18,13228589.67,3745351.64,13228512.09,3745357.66"
牛首山森林公园,"13219507.57,3729421.52,13219461.73,3729441.49,13219367.31,3729451.14,13219295.61,3729453.75,13219207.13,3729482.61,13219151.7,3729520.45,13219101.61,3729604.35,13219089.34,3729779.25,13219102.37,3729958.17,13219159.28,3730073.94,13219232.98,3730138.81,13219262.67,3730186.58,13219259.67,3730247.0,13219213.7,3730305.73,13219171.86,3730341.23,13219140.56,3730387.96,13219138.32,3730458.31,13219175.95,3730549.27,13219529.85,3731194.83,13219587.4,3731344.01,13219626.24,3731554.3,13219636.37,3731627.78,13219668.44,3731690.18,13219726.66,3731750.37,13219836.19,3731814.72,13219933.49,3731827.51,13220062.86,3731829.98,13220171.62,3731799.05,13220204.8,3731740.96,13220221.36,3731592.29,13220202.44,3731303.16,13220318.1,3730914.72,13220445.34,3730694.55,13220566.37,3730384.43,13220705.27,3729942.39,13220797.12,3729649.51,13220903.64,3729459.89,13220941.95,3729331.61,13220919.15,3729236.86,13220830.5,3729156.33,13220764.62,3729066.81,13220638.94,3728887.77,13220520.72,3728728.69,13220370.0,3728585.92,13220261.43,3728479.44,13220178.19,3728443.29,13220083.58,3728446.04,13219952.65,3728504.89,13219844.65,3728548.08,13219749.83,3728594.01,13219699.73,3728631.08,13219674.45,3728676.88,13219669.0,3728731.05,13219673.0,3728793.28,13219669.88,3728845.22,13219643.27,3728917.26,13219591.97,3728981.07,13219517.51,3729046.58,13219475.63,3729122.27,13219445.01,3729176.56,13219446.26,3729219.88,13219479.64,3729274.45,13219505.93,3729316.6,13219527.29,3729355.62,13219529.17,3729386.41,13219507.57,3729421.52"
