roadname	linkid	linkLoc	linkSpeed	linkCongestIndex	linkLength	Roadlength	RoadCongestLength	RoadCongestIndex	RoadAvgSpeed	title
北五环路-西向东-厢红旗路至万泉河路_131_morning	15419468790	116.294109,40.019667,116.294822,40.019744	15.37666871	5.477129123	0.061	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15419471770	116.287953,40.018985,116.289709,40.019183	15.30856264	5.571391777	0.151	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15419500400	116.270678,40.009465,116.270991,40.009523	12.04152341	6.74831558	0.028	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15419504030	116.266524,40.009121,116.26945,40.009291	11.64958944	7.335880844	0.252	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15419527140	116.26945,40.009291,116.270004,40.009343	12.04152341	7.097108657	0.048	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15419547960	116.285818,40.018741,116.287953,40.018985	15.65740502	5.447262805	0.184	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15685352140	116.294822,40.019744,116.297956,40.020079	14.03351834	5.682110366	0.269	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15685352310	116.290608,40.019274,116.293515,40.019603,116.293563,40.019608,116.293809,40.019635,116.294003,40.019656,116.294109,40.019667	15.37666871	5.477129123	0.301	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15685353020	116.274222,40.010554,116.274479,40.010671,116.275682,40.011583	17.78121368	4.492944151	0.169	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15685354010	116.262481,40.008882,116.263379,40.008934,116.263577,40.008945,116.263742,40.008951,116.265923,40.009085	13.86731868	6.244898672	0.295	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15685354550	116.289709,40.019183,116.290455,40.019257,116.290608,40.019274	15.24587106	5.594301542	0.077	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15685354830	116.280088,40.017123,116.280433,40.01733,116.280726,40.017511,116.281295,40.017767,116.28193,40.018,116.282277,40.018095,116.283138,40.018323	15.99522969	5.192798205	0.294	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15685354840	116.297956,40.020079,116.298206,40.020107,116.299738,40.02028,116.300991,40.020397	20.67207343	3.939614489	0.26	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15685355490	116.275682,40.011583,116.275957,40.011791,116.275994,40.01182,116.276018,40.011854,116.276755,40.012906,116.27699,40.013241	17.77363664	4.494859528	0.216	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15685356330	116.27699,40.013241,116.277271,40.013642,116.277516,40.014037,116.277867,40.014613,116.278113,40.015014,116.278575,40.01562	16.20940547	5.032263532	0.296	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15685356390	116.283138,40.018323,116.283235,40.018349,116.285251,40.018656	16.04004732	5.178288964	0.184	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
北五环路-西向东-厢红旗路至万泉河路_131_morning	15685356480	116.278575,40.01562,116.278864,40.015998,116.278957,40.016085,116.279821,40.016887,116.279888,40.016949,116.280088,40.017123	16.42330568	4.966722387	0.211	10	0.362769632	4.326173358	39.91263319	北五环路-西向东-厢红旗路至万泉河路_131_morning
朝阳北路-东向西-青年路至石佛营路_131_morning	15257757280	116.509622,39.92935,116.508428,39.92933	6.16666145	7.50811446	0.102	10	0.088112272	3.346628199	30.38686442	朝阳北路-东向西-青年路至石佛营路_131_morning
朝阳北路-东向西-青年路至石佛营路_131_morning	15258095660	116.511418,39.929384,116.510937,39.929379,116.509622,39.92935	6.16666145	8.805412855	0.154	10	0.088112272	3.346628199	30.38686442	朝阳北路-东向西-青年路至石佛营路_131_morning
朝阳北路-东向西-青年路至石佛营路_131_morning	15420471800	116.519828,39.929513,116.519584,39.929506	9.552889321	5.341839342	0.021	10	0.088112272	3.346628199	30.38686442	朝阳北路-东向西-青年路至石佛营路_131_morning
朝阳北路-东向西-青年路至石佛营路_131_morning	15625520230	116.519953,39.929516,116.519828,39.929513	9.552889321	5.341839342	0.011	10	0.088112272	3.346628199	30.38686442	朝阳北路-东向西-青年路至石佛营路_131_morning
朝阳北路-东向西-青年路至石佛营路_131_morning	15685160560	116.519272,39.929502,116.516613,39.929468	9.552889321	5.365915827	0.227	10	0.088112272	3.346628199	30.38686442	朝阳北路-东向西-青年路至石佛营路_131_morning
朝阳北路-东向西-青年路至石佛营路_131_morning	15685161420	116.516613,39.929468,116.515747,39.929456,116.514379,39.929443	5.399565328	10.94347349	0.191	10	0.088112272	3.346628199	30.38686442	朝阳北路-东向西-青年路至石佛营路_131_morning
朝阳北路-东向西-青年路至石佛营路_131_morning	15685161690	116.512124,39.929401,116.511418,39.929384	5.781182958	9.392541353	0.06	10	0.088112272	3.346628199	30.38686442	朝阳北路-东向西-青年路至石佛营路_131_morning
朝阳北路-东向西-青年路至石佛营路_131_morning	15685162970	116.514379,39.929443,116.512124,39.929401	5.781182958	9.963358784	0.193	10	0.088112272	3.346628199	30.38686442	朝阳北路-东向西-青年路至石佛营路_131_morning
东三环南路-南向北-弘燕路至八棵杨中街_131_morning	15259376640	116.467635,39.874701,116.467659,39.87487,116.467664,39.874902,116.467667,39.874927,116.46767,39.875028,116.467701,39.87612	9.647490542	7.166630503	0.158	10	0.35598769	2.284048281	47.68321989	东三环南路-南向北-弘燕路至八棵杨中街_131_morning
东三环南路-南向北-弘燕路至八棵杨中街_131_morning	15259406500	116.467616,39.874626,116.467635,39.874701,116.467659,39.87487,116.467664,39.874902,116.467667,39.874927,116.46767,39.875028,116.467701,39.87612	9.647490542	7.166630503	0.166	10	0.35598769	2.284048281	47.68321989	东三环南路-南向北-弘燕路至八棵杨中街_131_morning
东三环南路-南向北-弘燕路至八棵杨中街_131_morning	15259412820	116.46777,39.879825,116.467772,39.879913,116.467779,39.880249,116.467801,39.881576,116.467808,39.881828,116.46781,39.881942,116.467846,39.883396	7.610882245	9.360281463	0.397	10	0.35598769	2.284048281	47.68321989	东三环南路-南向北-弘燕路至八棵杨中街_131_morning
东三环南路-南向北-弘燕路至八棵杨中街_131_morning	15259413930	116.467871,39.885278,116.467883,39.886182	9.108435484	7.825712783	0.1	10	0.35598769	2.284048281	47.68321989	东三环南路-南向北-弘燕路至八棵杨中街_131_morning
东三环南路-南向北-弘燕路至八棵杨中街_131_morning	15259413990	116.467701,39.87612,116.467704,39.876272,116.467715,39.876971,116.467716,39.877058,116.467717,39.877106,116.467718,39.877146,116.467728,39.877819,116.467731,39.877998	9.384744745	7.367275496	0.209	10	0.35598769	2.284048281	47.68321989	东三环南路-南向北-弘燕路至八棵杨中街_131_morning
东三环南路-南向北-弘燕路至八棵杨中街_131_morning	15259415050	116.468012,39.892868,116.468044,39.893669,116.468047,39.89372,116.468054,39.89387	11.53041186	6.377916147	0.111	10	0.35598769	2.284048281	47.68321989	东三环南路-南向北-弘燕路至八棵杨中街_131_morning
东三环南路-南向北-弘燕路至八棵杨中街_131_morning	15259420020	116.467757,39.879447,116.467763,39.879637,116.46777,39.879825	9.695995582	7.457717919	0.042	10	0.35598769	2.284048281	47.68321989	东三环南路-南向北-弘燕路至八棵杨中街_131_morning
东三环南路-南向北-弘燕路至八棵杨中街_131_morning	15259421310	116.467883,39.886182,116.467887,39.887224	10.25431434	7.080922003	0.116	10	0.35598769	2.284048281	47.68321989	东三环南路-南向北-弘燕路至八棵杨中街_131_morning
东三环南路-南向北-弘燕路至八棵杨中街_131_morning	15421217520	116.46774,39.878472,116.467757,39.879447	9.302468064	7.773205939	0.108	10	0.35598769	2.284048281	47.68321989	东三环南路-南向北-弘燕路至八棵杨中街_131_morning
东三环南路-南向北-弘燕路至八棵杨中街_131_morning	15421218900	116.467731,39.877998,116.46774,39.878472	9.302468064	7.773205939	0.053	10	0.35598769	2.284048281	47.68321989	东三环南路-南向北-弘燕路至八棵杨中街_131_morning
东三环南路-南向北-弘燕路至八棵杨中街_131_morning	15421278790	116.467861,39.88464,116.467871,39.885278	8.819029516	8.082521991	0.071	10	0.35598769	2.284048281	47.68321989	东三环南路-南向北-弘燕路至八棵杨中街_131_morning
东三环南路-南向北-弘燕路至八棵杨中街_131_morning	15421352670	116.467857,39.88437,116.46786,39.88456,116.467861,39.884595,116.467861,39.88464	8.819029516	8.082521991	0.03	10	0.35598769	2.284048281	47.68321989	东三环南路-南向北-弘燕路至八棵杨中街_131_morning
东三环南路-南向北-弘燕路至八棵杨中街_131_morning	15685181640	116.467963,39.889894,116.467963,39.889927,116.467963,39.889952,116.467964,39.889997,116.467964,39.890104,116.467964,39.890142,116.467964,39.890168,116.467969,39.890613,116.467969,39.891368,116.468,39.892551	11.58685021	6.310601992	0.295	10	0.35598769	2.284048281	47.68321989	东三环南路-南向北-弘燕路至八棵杨中街_131_morning
东三环南路-南向北-弘燕路至八棵杨中街_131_morning	15685182730	116.467887,39.887224,116.467888,39.887339,116.467889,39.887386,116.467894,39.887727,116.467933,39.889194,116.467949,39.88948,116.467963,39.889894	11.61253191	6.252727704	0.297	10	0.35598769	2.284048281	47.68321989	东三环南路-南向北-弘燕路至八棵杨中街_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15258793150	116.494881,39.87333,116.494903,39.873686,116.49491,39.873862	12.86754515	5.888458066	0.059	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15259356380	116.496403,39.884378,116.496399,39.884769,116.496396,39.885017	15.08302227	4.939328384	0.071	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15259410990	116.49636,39.885907,116.496356,39.886368,116.496356,39.886401,116.496442,39.887822,116.496423,39.888969,116.496422,39.889039	16.40707388	4.540724356	0.348	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15259411610	116.496396,39.885017,116.49636,39.885907	16.40707388	4.540724356	0.099	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15421165830	116.496403,39.884378,116.496399,39.884769	15.08302227	4.939328384	0.043	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15421174570	116.495415,39.877223,116.495419,39.877247,116.495498,39.87776	10.45233003	7.22901016	0.06	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15421185880	116.493894,39.866995,116.493942,39.867292	14.096735	5.15793196	0.033	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15421185890	116.493942,39.867292,116.494022,39.867792,116.494083,39.868351	15.87579946	4.579926836	0.118	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15421254910	116.495704,39.878957,116.49572,39.879062,116.495778,39.879547,116.495921,39.880491	10.22898153	7.386854671	0.171	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15421290510	116.496435,39.889786,116.49643,39.890634	15.75270132	4.594132685	0.094	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15421294260	116.495921,39.880491,116.496027,39.880965	10.22898153	7.386854671	0.053	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15421327500	116.495498,39.87776,116.495665,39.87848,116.495704,39.878957	10.45233003	7.22901016	0.134	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15421345070	116.496422,39.889039,116.496422,39.889119,116.496435,39.889786	15.75270132	4.594132685	0.083	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15421369720	116.496027,39.880965,116.496179,39.881979,116.496185,39.882019,116.496215,39.882611,116.496222,39.882675,116.496315,39.883443,116.496403,39.884378	13.58753944	5.471189271	0.38	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15685176950	116.495314,39.87648,116.495399,39.877122,116.495415,39.877223	10.45233003	7.22901016	0.083	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15685177040	116.494505,39.871133,116.494865,39.873182,116.494881,39.87333	14.8999737	4.831552151	0.246	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15685178510	116.494258,39.869536,116.494446,39.870727,116.494457,39.870792,116.494505,39.871133	15.65137197	4.645599129	0.178	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东四环南路-南向北-垡头路至化工路_131_morning	15685185290	116.494083,39.868351,116.494258,39.869536	16.59339904	4.381862922	0.132	10	0.362883038	2.080545696	48.78535829	东四环南路-南向北-垡头路至化工路_131_morning
东五环路-南向北-广渠路至朝阳北路_131_morning	15259340360	116.550244,39.921397,116.550202,39.922042,116.550194,39.922162,116.550186,39.922289,116.550179,39.922398,116.550157,39.922778	20.22472703	4.084109509	0.153	10	0.429575192	3.495762627	33.05450284	东五环路-南向北-广渠路至朝阳北路_131_morning
